timestamp,open,high,low,close,volume
2024-01-01 00:00:00,2075.50,2078.20,2074.80,2076.90,1250
2024-01-01 01:00:00,2076.90,2079.50,2076.20,2078.30,1180
2024-01-01 02:00:00,2078.30,2081.10,2077.80,2080.40,1320
2024-01-01 03:00:00,2080.40,2082.80,2079.90,2081.60,1450
2024-01-01 04:00:00,2081.60,2084.20,2080.90,2083.10,1380
2024-01-01 05:00:00,2083.10,2085.50,2082.30,2084.70,1520
2024-01-01 06:00:00,2084.70,2087.20,2083.80,2086.40,1670
2024-01-01 07:00:00,2086.40,2088.90,2085.60,2087.80,1590
2024-01-01 08:00:00,2087.80,2090.30,2086.90,2089.20,1740
2024-01-01 09:00:00,2089.20,2091.80,2088.40,2090.60,1820
2024-01-01 10:00:00,2090.60,2093.20,2089.80,2092.10,1950
2024-01-01 11:00:00,2092.10,2094.70,2091.30,2093.50,2080
2024-01-01 12:00:00,2093.50,2096.10,2092.80,2095.20,2130
2024-01-01 13:00:00,2095.20,2097.80,2094.50,2096.90,2260
2024-01-01 14:00:00,2096.90,2099.50,2096.20,2098.40,2390
2024-01-01 15:00:00,2098.40,2101.10,2097.60,2100.20,2520
2024-01-01 16:00:00,2100.20,2102.80,2099.50,2101.90,2650
2024-01-01 17:00:00,2101.90,2104.50,2101.20,2103.60,2780
2024-01-01 18:00:00,2103.60,2106.20,2102.90,2105.30,2910
2024-01-01 19:00:00,2105.30,2107.90,2104.60,2107.20,3040
2024-01-01 20:00:00,2107.20,2109.80,2106.50,2108.90,3170
2024-01-01 21:00:00,2108.90,2111.50,2108.20,2110.60,3300
2024-01-01 22:00:00,2110.60,2113.20,2109.90,2112.30,3430
2024-01-01 23:00:00,2112.30,2114.90,2111.60,2114.20,3560
